Outcome Timeframe,Study results and measurements,Comparator No MTaT,Intervention Mass testing and treatment,Certainty of the evidence (Quality of evidence),Summary
,randomized)),( CI,95% 87 fewer -37 fewer ),serious imprecision 8,intervention.
Adverse event (group targeted by the intervention),"Based on data from 6,373 participants in 1 studies. (Randomized controlled)","Most common AEs during treatment were fever (0.023/person-day), headache (0.008/person-day), vomiting (0.006/person-day), cough (0.004/ person-day), shivering (0.003/person- day), and nasal congestion (0.002/ person-day).","Most common AEs during treatment were fever (0.023/person-day), headache (0.008/person-day), vomiting (0.006/person-day), cough (0.004/ person-day), shivering (0.003/person- day), and nasal congestion (0.002/ person-day).","Low Due to serious risk of bias, and serious imprecision 9",The evidence is very uncertain about the effect of MTaT on adverse events.
Prevalence (group targeted by the intervention),Based on data from 633 participants in 1 studies. (Observational (non- randomized)),"Three rounds of MTaT were conducted to determine prevalence in the asymptomatic reservoir. MTaT was compared with detection through passive surveillance prevalence. 1st round-moderate to high burden areas -50/28,527 i.e. 0.18% vs 0.06% from passive surveillance; 2nd round-low to high burden areas - 7/11,363 i.e. 0.06% vs 0.03% from passive surveillance; 3rd round- RCD of cryptic cases in 50 households -3/8,467 i.e. 0.03%.","Three rounds of MTaT were conducted to determine prevalence in the asymptomatic reservoir. MTaT was compared with detection through passive surveillance prevalence. 1st round-moderate to high burden areas -50/28,527 i.e. 0.18% vs 0.06% from passive surveillance; 2nd round-low to high burden areas - 7/11,363 i.e. 0.06% vs 0.03% from passive surveillance; 3rd round- RCD of cryptic cases in 50 households -3/8,467 i.e. 0.03%.",Very low Due to serious risk of bias 10,The evidence is very uncertain about the effect of MTaT on the prevalence of infection among the group targeted by the intervention.
